,catid,type
0,6821,3.0
1,6837,3.0
2,7139,1.0
3,7206,2.0
4,7289,0.5
5,7715,0.5
6,7839,0.5
7,7841,1.5
8,7946,2.0
9,7969,0.5
10,7992,1.0
11,8319,3.0
12,8353,3.0
13,8391,-9.0
14,8404,3.0
15,8485,3.0
16,8487,0.5
17,8488,0.0
18,8490,-9.0
19,8562,3.0
20,8570,3.0
21,8703,2.0
22,8706,2.0
23,8865,0.0
24,8913,3.0
25,9032,0.5
26,9062,1.0
27,9067,2.5
28,9112,3.0
29,9115,3.0
30,9163,3.0
31,9352,2.5
32,14552,1.0
33,14555,3.0
34,14697,2.0
35,14753,2.0
36,14812,2.5
37,15165,0.5
38,15218,3.0
39,15220,3.0
40,15481,0.0
41,15847,3.0
42,15898,2.0
43,16022,0.5
44,16026,2.5
45,16242,1.5
46,16294,3.0
47,16310,3.0
48,16317,1.0
49,16382,0.5
50,16392,-9.0
51,16426,3.0
52,16429,-9.0
53,16430,3.0
54,16445,3.0
55,16487,2.5
56,16525,0.0
57,16526,0.0
58,16828,3.0
59,16863,3.0
60,16920,-9.0
61,16926,1.0
62,16948,3.0
63,17273,3.0
64,17314,2.0
65,17390,0.5
66,21836,3.0
67,21979,3.0
68,22121,-9.0
69,22175,3.0
70,22178,3.0
71,22582,0.5
72,22595,1.0
73,22633,3.0
74,22839,3.0
75,22862,3.0
76,22887,2.0
77,22932,3.0
78,23070,1.0
79,23075,1.5
80,23082,0.0
81,23117,1.5
82,23225,1.5
83,23259,2.5
84,23265,0.0
85,23337,2.5
86,23341,0.0
87,23519,3.0
88,23565,2.0
89,23578,3.0
90,23591,3.0
91,23593,3.0
92,23619,1.5
93,23623,1.0
94,23669,3.0
95,23737,3.0
96,23865,3.0
97,23868,3.0
98,24013,2.5
99,24414,3.0
100,24433,3.0
101,28654,3.0
102,28738,3.0
103,28860,3.0
104,30346,2.0
105,30361,1.0
106,30377,3.0
107,30469,0.5
108,30472,3.0
109,30615,0.5
110,30784,3.0
111,30786,2.0
112,30847,0.5
113,30890,3.0
114,30913,-9.0
115,30914,3.0
116,30916,2.5
117,31079,2.0
118,31129,3.0
119,31353,-9.0
120,31448,1.0
121,31452,3.0
122,31509,3.0
123,31620,2.0
124,31623,0.5
125,31725,3.0
126,31740,3.0
127,31912,1.5
128,31939,2.5
129,32136,3.0
130,32196,0.0
131,32249,3.0
132,32274,3.0
133,32295,3.0
134,32322,3.0
135,32362,2.0
136,36880,1.0
137,36894,3.0
138,36923,3.0
139,37050,3.0
140,37064,2.0
141,39057,0.0
142,39108,3.0
143,39131,3.0
144,39145,2.5
145,39365,2.0
146,39475,1.0
147,39539,3.0
148,39594,3.0
149,39671,-9.0
150,39709,1.5
151,39742,3.0
152,40164,2.0
153,40197,1.5
154,40278,2.0
155,40283,3.0
156,40403,1.0
157,40419,1.5
158,40420,3.0
159,40445,0.0
160,40453,3.0
161,40482,3.0
162,40491,0.5
163,40765,2.5
164,40916,3.0
165,41059,0.0
166,41075,3.0
167,41143,1.0
168,41144,2.0
169,41164,3.0
170,41173,3.0
171,41180,0.0
172,41274,0.5
173,41277,1.5
174,41302,1.5
175,41354,3.0
176,47152,0.0
177,47224,3.0
178,47245,3.0
179,47254,0.0
180,47258,1.5
181,47286,3.0
182,47293,1.0
183,47342,2.5
184,47460,2.0
185,47493,3.0
186,47500,3.0
187,47535,3.0
188,47652,3.0
189,47674,1.0
190,48016,2.5
191,48049,1.5
192,48432,2.0
193,48470,0.0
194,48506,2.5
195,48548,0.5
196,48681,1.0
197,48740,3.0
198,48969,3.0
199,49204,3.0
200,49670,3.0
201,49677,3.0
202,49702,2.5
203,49728,3.0
204,49730,3.0
205,49734,1.0
206,49753,3.0
207,49755,3.0
208,49784,1.0
209,49840,3.0
210,49857,3.0
211,53770,3.0
212,53771,3.0
213,53809,3.0
214,53977,3.0
215,54102,3.0
216,54198,2.0
217,54202,0.0
218,54270,0.0
219,54359,2.5
220,54375,2.5
221,54382,3.0
222,54455,3.0
223,54500,0.5
224,54848,3.0
225,54850,1.5
226,54895,3.0
227,54918,0.0
228,54921,0.0
229,54938,3.0
230,54957,2.0
231,55124,3.0
232,55143,0.0
233,55150,3.0
234,55160,3.0
235,55227,3.0
236,55245,2.5
237,55287,3.0
238,55346,3.0
239,55367,3.0
240,55372,3.0
241,55537,2.5
242,55648,3.0
243,55684,3.0
244,55905,3.0
245,56055,-9.0
246,56061,3.0
247,56064,2.0
248,56140,1.0
249,56181,0.0
250,56183,3.0
251,62145,3.0
252,62239,0.0
253,62244,0.0
254,62412,3.0
255,62435,3.0
256,62593,3.0
257,62718,3.0
258,63027,1.5
259,63210,1.5
260,63276,2.0
261,63302,2.5
262,63305,1.5
263,63389,2.5
264,63777,2.5
265,63779,2.5
266,63780,1.5
267,63855,3.0
268,63997,2.0
269,64087,2.5
270,64553,3.0
271,64646,1.5
272,64758,3.0
273,65237,3.0
274,65278,3.0
275,65355,3.0
276,65359,3.0
277,65384,2.0
278,65395,2.5
279,65406,2.0
280,65408,0.0
281,65410,0.5
282,69462,3.0
283,69513,3.0
284,69535,3.0
285,69620,3.0
286,69653,3.0
287,69740,-9.0
288,69752,2.0
289,69822,2.0
290,69844,3.0
291,69864,3.0
292,69986,2.0
293,70022,0.5
294,70107,3.0
295,70114,0.0
296,70403,2.0
297,70532,1.5
298,70640,0.5
299,70670,0.0
300,70719,2.5
301,70777,3.0
302,70802,0.0
303,70808,0.0
304,70929,2.5
305,71099,3.0
306,71117,3.0
307,71146,3.0
308,71178,0.5
309,71269,3.0
310,71352,0.0
311,71382,3.0
312,77226,1.5
313,77227,2.0
314,77373,3.0
315,77445,3.0
316,77446,2.0
317,77452,3.0
318,77710,1.5
319,77754,2.0
320,77845,3.0
321,77967,3.0
322,78355,1.5
323,78406,3.0
324,78425,2.5
325,78523,2.5
326,78530,0.5
327,78531,2.0
328,78634,1.0
329,78667,3.0
330,78791,3.0
331,78827,1.5
332,78921,3.0
333,79098,3.0
334,79329,3.0
335,79335,3.0
336,79444,2.5
337,79529,3.0
338,79601,3.0
339,79635,2.5
340,79670,3.0
341,79689,-9.0
342,79690,3.0
343,79693,1.5
344,79706,0.0
345,79710,3.0
346,79711,1.0
347,79712,3.0
348,79733,0.5
349,79734,3.0
350,79750,0.0
351,79771,3.0
352,79810,0.0
353,79850,-9.0
354,79866,0.0
355,84048,3.0
356,84073,1.5
357,84106,0.5
358,84107,2.5
359,84209,0.0
360,84677,2.0
361,84680,1.0
362,84734,0.5
363,84900,2.0
364,85205,0.0
365,85239,1.5
366,85280,2.0
367,85416,2.0
368,85418,2.0
369,85423,3.0
370,85464,3.0
371,85474,3.0
372,85479,2.5
373,85481,3.0
374,85505,2.0
375,85507,3.0
376,85559,0.0
377,85667,0.0
378,85707,1.5
379,85919,3.0
380,86115,3.0
381,86116,3.0
382,91510,3.0
383,91545,0.0
384,91568,0.5
385,91579,3.0
386,91589,2.0
387,91627,2.5
388,91686,1.0
389,91689,0.0
390,91691,0.5
391,91692,2.5
392,91697,0.5
393,91924,2.0
394,91926,1.5
395,91959,1.5
396,91961,0.5
397,91963,0.0
398,91988,0.5
399,91989,0.0
400,91996,1.5
401,91999,-9.0
402,92592,1.0
403,92676,3.0
404,92739,1.5
405,92770,-9.0
406,92773,0.0
407,92818,3.0
408,92944,3.0
409,93020,1.5
410,93023,2.0
411,93062,2.0
412,93167,3.0
413,93259,3.0
414,93354,2.5
415,93384,3.0
416,93604,3.0
417,93674,2.5
418,93803,0.0
419,93807,0.0
420,93832,3.0
421,93885,3.0
422,97915,0.5
423,98097,1.0
424,98143,3.0
425,98652,3.0
426,98880,0.0
427,99259,3.0
428,99326,3.0
429,99349,2.0
430,99393,2.0
431,99410,3.0
432,99428,0.0
433,99430,3.0
434,99464,3.0
435,99511,3.0
436,99513,3.0
437,99687,1.5
438,99742,1.5
439,99795,3.0
440,100162,3.0
441,100175,3.0
442,100192,3.0
443,105420,2.0
444,105447,1.5
445,105519,1.0
446,105573,3.0
447,105597,2.0
448,105600,3.0
449,105738,1.0
450,105962,3.0
451,106016,1.0
452,106042,3.0
453,106047,1.5
454,106049,3.0
455,106065,3.0
456,106331,3.0
457,106343,3.0
458,106376,3.0
459,106389,2.0
460,106507,3.0
461,106549,0.5
462,106616,3.0
463,106634,2.5
464,106638,2.0
465,106717,3.0
466,106810,1.5
467,106839,1.0
468,106908,2.5
469,107135,1.0
470,107137,0.5
471,107214,3.0
472,107259,3.0
473,107395,3.0
474,107454,-9.0
475,107503,2.5
476,107509,2.0
477,107528,0.0
478,107594,3.0
479,107799,3.0
480,107824,2.0
481,107826,-9.0
482,136232,1.5
483,136238,0.5
484,136240,3.0
485,136263,2.0
486,136308,1.5
487,136594,3.0
488,136602,0.0
489,136605,0.0
490,136616,1.0
491,136624,1.0
492,136626,3.0
493,136672,3.0
494,136688,2.0
495,136799,-9.0
496,136841,1.0
497,136842,0.0
498,136847,1.5
499,136856,-9.0
500,136866,2.5
501,136871,0.5
502,136880,1.5
503,136881,1.5
504,136894,3.0
505,136917,3.0
506,136918,3.0
507,136966,3.0
508,136980,3.0
509,137037,0.5
510,137071,3.0
511,137155,3.0
512,137328,1.5
513,137350,3.0
514,137455,3.0
515,137789,3.0
516,137809,2.0
517,137838,0.0
518,137841,1.0
519,137847,3.0
520,138047,3.0
521,138065,3.0
522,138066,3.0
523,138094,3.0
524,138132,3.0
525,138161,3.0
526,138291,-9.0
527,138381,3.0
528,139123,1.5
529,143148,3.0
530,143227,1.5
531,143287,1.0
532,143291,0.0
533,143388,3.0
534,143446,3.0
535,143499,3.0
536,143547,0.5
537,143605,2.5
538,143735,0.5
539,143736,1.5
540,143746,1.5
541,143750,3.0
542,143814,3.0
543,143918,1.0
544,144051,2.0
545,144073,3.0
546,144127,3.0
547,144176,3.0
548,144178,3.0
549,144197,3.0
550,144236,3.0
551,144239,3.0
552,144243,3.0
553,144320,-9.0
554,144327,2.0
555,144335,1.0
556,144338,3.0
557,144402,2.5
558,144465,5.0
559,144480,3.0
560,144491,3.0
561,144497,-9.0
562,144498,1.0
563,144640,1.0
564,144682,5.0
565,144690,1.5
566,144846,3.0
567,145073,3.0
568,145267,-9.0
569,145462,3.0
570,145583,3.0
571,145729,1.5
572,176868,-9.0
573,176934,3.0
574,176955,2.5
575,176969,3.0
576,176991,3.0
577,177010,1.5
578,177046,3.0
579,177081,3.0
580,177100,1.5
581,177143,2.0
582,177232,1.0
583,177297,-9.0
584,177303,2.0
585,177326,3.0
586,177354,3.0
587,177481,3.0
588,177518,3.0
589,177969,0.0
590,178149,3.0
591,178190,1.0
592,178197,2.0
593,178210,3.0
594,178290,3.0
595,178300,3.0
596,178481,3.0
597,178578,3.0
598,178580,3.0
599,178585,3.0
600,178865,3.0
601,179566,3.0
602,179584,2.5
603,179588,2.0
604,179665,3.0
605,183932,3.0
606,184042,0.0
607,184046,0.0
608,184122,2.0
609,184202,1.0
610,184230,3.0
611,184234,3.0
612,184237,3.0
613,184268,2.0
614,184281,3.0
615,184283,3.0
616,184354,3.0
617,184366,1.5
618,184368,2.0
619,184370,3.0
620,184415,3.0
621,184648,0.0
622,184689,1.5
623,184718,3.0
624,184834,3.0
625,185085,1.0
626,185190,3.0
627,185224,1.0
628,185252,3.0
629,185282,2.0
630,185291,3.0
631,185298,3.0
632,185365,0.5
633,185376,3.0
634,185510,3.0
635,185532,3.0
636,185557,3.0
637,185567,0.5
638,185569,3.0
639,185622,3.0
640,185795,3.0
641,185863,3.0
642,185914,0.5
643,186012,0.0
644,186380,3.0
645,186406,3.0
646,186467,-9.0
647,186470,1.0
648,186573,1.5
649,186717,3.0
650,186742,3.0
651,186803,2.5
652,186833,3.0
653,186861,3.0
654,197419,3.0
655,197555,2.0
656,197843,3.0
657,197866,2.0
658,198343,1.0
659,198503,3.0
660,198591,3.0
661,198631,1.0
662,198771,3.0
663,198817,2.0
664,202309,3.0
665,202354,3.0
666,202360,2.0
667,202373,3.0
668,202398,2.0
669,202399,1.0
670,202443,2.0
671,202464,1.5
672,202480,0.5
673,202531,2.5
674,202636,3.0
675,202673,2.5
676,202745,1.5
677,203037,3.0
678,203114,2.0
679,203140,1.0
680,203148,3.0
681,203609,3.0
682,203684,3.0
683,203729,2.5
684,203833,0.0
685,203998,3.0
686,204093,1.0
687,204096,3.0
688,204490,2.0
689,204799,2.0
690,204832,0.0
691,204836,-9.0
692,204868,5.0
693,204876,3.0
694,204877,0.0
695,204906,2.0
696,204983,1.0
697,205020,1.5
698,205085,0.0
699,205086,0.0
700,205089,1.0
701,205097,2.0
702,205151,2.5
703,205161,1.0
704,205166,1.5
705,205168,1.0
706,205208,1.0
707,205211,0.5
708,208520,3.0
709,208589,2.0
710,208612,3.0
711,208652,0.0
712,208781,3.0
713,208876,1.0
714,208892,3.0
715,209181,3.0
716,209185,0.5
717,209279,3.0
718,209319,3.0
719,209414,3.0
720,209664,3.0
721,209680,0.0
722,209697,2.0
723,209698,2.0
724,209701,2.0
725,209708,3.0
726,209743,3.0
727,209807,2.0
728,210060,3.0
729,210070,-9.0
730,210228,1.5
731,210375,1.0
732,210467,0.0
733,210567,3.0
734,210611,2.0
735,210660,2.0
736,210781,3.0
737,210808,3.0
738,210909,3.0
739,214182,3.0
740,214184,1.5
741,214211,0.5
742,214245,3.0
743,214250,0.0
744,214295,1.5
745,214363,1.0
746,214462,3.0
747,214860,3.0
748,214895,1.0
749,215053,2.0
750,215289,0.0
751,215292,3.0
752,215335,2.0
753,215579,2.0
754,215698,3.0
755,216111,2.0
756,216143,3.0
757,216149,1.0
758,216155,2.5
759,216184,0.0
760,216396,1.0
761,216401,-9.0
762,216532,3.0
763,216670,2.0
764,216843,3.0
765,218681,3.0
766,218713,1.5
767,218717,3.0
768,219992,1.0
769,220112,0.0
770,220126,3.0
771,220170,3.0
772,220217,2.5
773,220218,0.0
774,220227,-9.0
775,220275,3.0
776,220319,3.0
777,220320,3.0
778,220326,2.0
779,220328,1.0
780,220330,2.5
781,220332,2.5
782,220355,3.0
783,220371,3.0
784,220372,3.0
785,220374,2.5
786,220375,3.0
787,220383,3.0
788,220394,1.0
789,220396,1.5
790,220437,0.0
791,220439,3.0
