,cubeid,cubeidpub,cubename,catid,pa_gaskin,pa_gaskin_err
0,6821_blue_red_7_Y18SAR4_P001_12T126_2018_05_07-2018_05_16,6821_A,6821_blue_7_Y18SAR4_P001_12T126_2018_05_07-2018_05_16.fits,6821,344.0,0.16666667
1,6837_blue_red_7_Y18SAR4_P001_12T126_2018_05_07-2018_05_16,6837_A,6837_blue_7_Y18SAR4_P001_12T126_2018_05_07-2018_05_16.fits,6837,289.5,0.16666667
2,7139_blue_red_7_Y18SAR3_P002_12T122_2018_05_07-2018_05_16,7139_A,7139_blue_7_Y18SAR3_P002_12T122_2018_05_07-2018_05_16.fits,7139,181.0,0.16666667
3,7206_blue_red_7_Y18SAR3_P002_12T122_2018_05_07-2018_05_16,7206_A,7206_blue_7_Y18SAR3_P002_12T122_2018_05_07-2018_05_16.fits,7206,279.5,0.25
4,7289_blue_red_7_Y18SAR3_P002_12T122_2018_05_07-2018_05_16,7289_A,7289_blue_7_Y18SAR3_P002_12T122_2018_05_07-2018_05_16.fits,7289,100.0,0.33333334
5,7715_blue_red_7_Y14SAR4_P002_12T064_2014_05_23-2014_06_01,7715_A,7715_blue_7_Y14SAR4_P002_12T064_2014_05_23-2014_06_01.fits,7715,146.0,0.16666667
6,7839_blue_red_7_Y16SAR4_P002_12T101_2017_04_19-2017_05_01,7839_A,7839_blue_7_Y16SAR4_P002_12T101_2017_04_19-2017_05_01.fits,7839,107.5,0.16666667
7,7841_blue_red_7_Y14SAR4_P002_12T064_2014_05_23-2014_06_01,7841_A,7841_blue_7_Y14SAR4_P002_12T064_2014_05_23-2014_06_01.fits,7841,6.0,0.33333334
8,7946_blue_red_7_Y16SAR4_P002_12T101_2017_04_19-2017_05_01,7946_A,7946_blue_7_Y16SAR4_P002_12T101_2017_04_19-2017_05_01.fits,7946,241.5,0.16666667
9,7969_blue_red_7_Y16SAR4_P002_12T101_2017_04_19-2017_05_01,7969_A,7969_blue_7_Y16SAR4_P002_12T101_2017_04_19-2017_05_01.fits,7969,300.5,0.16666667
10,7992_blue_red_7_Y16SAR4_P002_12T101_2017_04_19-2017_05_01,7992_A,7992_blue_7_Y16SAR4_P002_12T101_2017_04_19-2017_05_01.fits,7992,144.5,3.0
11,8319_blue_red_7_Y17SAR3_P002_12T103_2018_02_12-2018_02_19,8319_A,8319_blue_7_Y17SAR3_P002_12T103_2018_02_12-2018_02_19.fits,8319,222.0,1.75
12,8353_blue_red_7_Y14SAR1_P005_12T045_2015_02_16-2015_02_25,8353_A,8353_blue_7_Y14SAR1_P005_12T045_2015_02_16-2015_02_25.fits,8353,348.0,0.16666667
13,8391_blue_red_7_Y14SAR4_P001_12T063_2014_05_23-2014_06_01,8391_A,8391_blue_7_Y14SAR4_P001_12T063_2014_05_23-2014_06_01.fits,8391,252.0,0.16666667
14,8404_blue_red_7_Y14SAR4_P001_12T063_2014_05_23-2014_06_01,8404_A,8404_blue_7_Y14SAR4_P001_12T063_2014_05_23-2014_06_01.fits,8404,39.0,0.16666667
15,8485_blue_red_7_Y15SAR3_P001_12T084_2015_04_14-2015_04_22,8485_A,8485_blue_7_Y15SAR3_P001_12T084_2015_04_14-2015_04_22.fits,8485,13.5,0.16666667
16,8487_blue_red_7_Y15SAR3_P001_12T084_2015_04_14-2015_04_22,8487_A,8487_blue_7_Y15SAR3_P001_12T084_2015_04_14-2015_04_22.fits,8487,193.0,0.41666666
17,8488_blue_red_7_Y15SAR3_P006_12T097_2017_04_19-2017_05_01,8488_A,8488_blue_7_Y15SAR3_P006_12T097_2017_04_19-2017_05_01.fits,8488,218.0,0.16666667
18,8490_blue_red_7_Y14SAR1_P005_12T045_2015_02_16-2015_02_25,8490_A,8490_blue_7_Y14SAR1_P005_12T045_2015_02_16-2015_02_25.fits,8490,228.5,0.16666667
19,8562_blue_red_7_Y14SAR1_P005_12T045_2015_02_16-2015_02_25,8562_A,8562_blue_7_Y14SAR1_P005_12T045_2015_02_16-2015_02_25.fits,8562,264.0,0.75
20,8570_blue_red_7_Y15SAR3_P001_12T084_2015_04_14-2015_04_22,8570_A,8570_blue_7_Y15SAR3_P001_12T084_2015_04_14-2015_04_22.fits,8570,183.5,0.16666667
21,8703_blue_red_6_Y16SAR4_P002_12T100_2017_04_19-2017_05_01,8703_A,8703_blue_6_Y16SAR4_P002_12T100_2017_04_19-2017_05_01.fits,8703,315.5,0.16666667
22,8706_blue_red_6_Y16SAR4_P002_12T100_2017_04_19-2017_05_01,8706_A,8706_blue_6_Y16SAR4_P002_12T100_2017_04_19-2017_05_01.fits,8706,253.0,0.16666667
23,8865_blue_red_6_Y16SAR4_P002_12T100_2017_04_19-2017_05_01,8865_A,8865_blue_6_Y16SAR4_P002_12T100_2017_04_19-2017_05_01.fits,8865,149.0,0.75
24,8913_blue_red_6_Y16SAR4_P002_12T100_2017_04_19-2017_05_01,8913_A,8913_blue_6_Y16SAR4_P002_12T100_2017_04_19-2017_05_01.fits,8913,138.0,0.6666667
