,cubeidpub,cubeid,cubename,catid,cubefwhm,cubetexp,meantrans,isbest,catsource,warnstar,warnfill,warnz,warnmult,warnakpc,warnare,warnamge,warnsk2m,warnsk4m,warnsk4mhsn,warnfcal,warnfcbr,warnskyb,warnskyr,warnsker,warnwcs,warnre,warnskem,warnemft
0,10000001_A,10000001_7_Y14SAR2_P007_09T074_2017_02_27-2017_03_05,10000001_blue_7_Y14SAR2_P007_09T074_2017_02_27-2017_03_05.fits,10000001,1.940672,12600.0,0.7623307,True,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,10000002_A,10000002_7_Y14SAR1_P005_09T065_2015_02_16-2015_02_25,10000002_blue_7_Y14SAR1_P005_09T065_2015_02_16-2015_02_25.fits,10000002,1.7759062,12600.0,0.9596453,True,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2,10000004_A,10000004_7_Y15SAR1_P001_09T097_2016_03_03-2016_03_13,10000004_blue_7_Y15SAR1_P001_09T097_2016_03_03-2016_03_13.fits,10000004,1.7604245,12600.0,1.0103962,True,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3,10000010_A,10000010_7_Y16SAR2_P003_09T122_2017_03_24-2017_04_02,10000010_blue_7_Y16SAR2_P003_09T122_2017_03_24-2017_04_02.fits,10000010,1.6422914,12528.0,0.8330366,True,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4,10000014_A,10000014_11_Y13SAR1_P004_09T018_2013_03_05-2013_03_17,10000014_blue_11_Y13SAR1_P004_09T018_2013_03_05-2013_03_17.fits,10000014,1.8180883,19800.0,0.820845,True,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5,10000014_B,10000014_7_Y15SAR1_P002_09T098_2016_03_03-2016_03_13,10000014_blue_7_Y15SAR1_P002_09T098_2016_03_03-2016_03_13.fits,10000014,1.7626722,12900.0,0.894672,False,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6,10000016_B,10000016_7_Y16SAR2_P002_09T117_2016_03_03-2016_03_13,10000016_blue_7_Y16SAR2_P002_09T117_2016_03_03-2016_03_13.fits,10000016,1.6767163,12600.0,1.0299896,True,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
7,10000016_A,10000016_8_Y13SAR1_P006_09T014_2013_03_05-2013_03_17,10000016_blue_8_Y13SAR1_P006_09T014_2013_03_05-2013_03_17.fits,10000016,2.0082026,14400.0,0.9762593,False,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
8,10000017_A,10000017_6_Y14SAR2_P004_09T071_2014_04_02-2014_04_06,10000017_blue_6_Y14SAR2_P004_09T071_2014_04_02-2014_04_06.fits,10000017,2.2568667,10800.0,1.0120952,True,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
9,10000021_A,10000021_7_Y15SAR2_P002_09T110_2016_02_08-2016_02_14,10000021_blue_7_Y15SAR2_P002_09T110_2016_02_08-2016_02_14.fits,10000021,1.9860961,10500.0,0.8636488,True,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10,10000027_A,10000027_7_Y18SAR1_P001_09T139_2018_03_12-2018_03_22,10000027_blue_7_Y18SAR1_P001_09T139_2018_03_12-2018_03_22.fits,10000027,1.360536,12600.0,0.855221,True,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11,10000029_A,10000029_7_Y18SAR1_P001_09T138_2018_02_12-2018_02_19,10000029_blue_7_Y18SAR1_P001_09T138_2018_02_12-2018_02_19.fits,10000029,1.5288186,12476.0,0.7603789,True,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
12,10000032_A,10000032_10_Y14SAR2_P008_09T075_2017_02_27-2017_03_05,10000032_blue_10_Y14SAR2_P008_09T075_2017_02_27-2017_03_05.fits,10000032,1.5606548,18000.0,0.6281951,True,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13,10000033_A,10000033_7_Y13SAR1_P007_09T007_2013_03_05-2013_03_17,10000033_blue_7_Y13SAR1_P007_09T007_2013_03_05-2013_03_17.fits,10000033,1.5480505,12600.0,0.94093484,True,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
14,10000035_A,10000035_7_Y17SAR3_P007_12T108_2018_04_09-2018_04_19,10000035_blue_7_Y17SAR3_P007_12T108_2018_04_09-2018_04_19.fits,10000035,2.0368056,12600.0,0.8036998,True,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
15,10000037_E,10000037_11_Y18SAR3_P002_12T129_2018_05_07-2018_05_16,10000037_blue_11_Y18SAR3_P002_12T129_2018_05_07-2018_05_16.fits,10000037,3.296584,19800.0,0.91002774,False,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
16,10000037_A,10000037_14_Y14SAR3_P004_12T055_2014_04_24-2014_05_04,10000037_blue_14_Y14SAR3_P004_12T055_2014_04_24-2014_05_04.fits,10000037,2.0850441,25200.0,1.0566387,False,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
17,10000037_B,10000037_7_Y14SAR3_P004_12T055_2014_04_24-2014_05_04,10000037_blue_7_Y14SAR3_P004_12T055_2014_04_24-2014_05_04.fits,10000037,1.9624666,12600.0,1.0631222,True,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
18,10000037_D,10000037_7_Y14SAR3_P004_12T055_2016_04_04-2016_04_12,10000037_blue_7_Y14SAR3_P004_12T055_2016_04_04-2016_04_12.fits,10000037,2.3170059,12600.0,1.0501553,False,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
19,10000037_C,10000037_7_Y15SAR3_P002_12T085_2015_04_14-2015_04_22,10000037_blue_7_Y15SAR3_P002_12T085_2015_04_14-2015_04_22.fits,10000037,2.5498943,12600.0,0.9167088,False,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
20,10000039_A,10000039_7_Y14SAR4_P003_12T065_2014_05_23-2014_06_01,10000039_blue_7_Y14SAR4_P003_12T065_2014_05_23-2014_06_01.fits,10000039,1.6811552,12300.0,0.86031085,True,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
21,10000040_A,10000040_9_Y17SAR3_P003_12T104_2018_02_12-2018_02_19,10000040_blue_9_Y17SAR3_P003_12T104_2018_02_12-2018_02_19.fits,10000040,2.3672585,16200.0,0.8279224,True,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
22,10000041_A,10000041_7_Y15SAR3_P004_12T086_2016_02_08-2016_02_14,10000041_blue_7_Y15SAR3_P004_12T086_2016_02_08-2016_02_14.fits,10000041,1.8213739,10500.0,0.81250304,True,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
23,10000044_A,10000044_7_Y18SAR3_P002_12T122_2018_05_07-2018_05_16,10000044_blue_7_Y18SAR3_P002_12T122_2018_05_07-2018_05_16.fits,10000044,1.4988208,12600.0,0.89237726,True,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
24,10000045_A,10000045_7_Y16SAR4_P002_12T101_2017_04_19-2017_05_01,10000045_blue_7_Y16SAR4_P002_12T101_2017_04_19-2017_05_01.fits,10000045,1.5607373,12600.0,1.072321,True,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
25,10000047_A,10000047_8_Y14SAR4_P010_12T072_2016_04_04-2016_04_12,10000047_blue_8_Y14SAR4_P010_12T072_2016_04_04-2016_04_12.fits,10000047,2.0727983,14400.0,0.6305813,True,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
26,10000050_A,10000050_7_Y14SAR4_P001_12T063_2014_05_23-2014_06_01,10000050_blue_7_Y14SAR4_P001_12T063_2014_05_23-2014_06_01.fits,10000050,1.6470896,12600.0,0.9983117,True,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
27,10000051_A,10000051_7_Y15SAR3_P001_12T084_2015_04_14-2015_04_22,10000051_blue_7_Y15SAR3_P001_12T084_2015_04_14-2015_04_22.fits,10000051,1.6825196,12600.0,0.8514841,True,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
28,10000051_B,10000051_7_Y15SAR3_P006_12T097_2017_04_19-2017_05_01,10000051_blue_7_Y15SAR3_P006_12T097_2017_04_19-2017_05_01.fits,10000051,1.8462454,12600.0,0.9271331,False,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
29,10000052_A,10000052_7_Y16SAR4_P001_12T090_2017_04_19-2017_05_01,10000052_blue_7_Y16SAR4_P001_12T090_2017_04_19-2017_05_01.fits,10000052,1.6577917,11300.0,0.8294117,True,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
30,10000061_A,10000061_7_Y17SAR3_P006_12T107_2018_04_09-2018_04_19,10000061_blue_7_Y17SAR3_P006_12T107_2018_04_09-2018_04_19.fits,10000061,1.5882795,12350.0,0.7862428,True,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
31,10000063_A,10000063_7_Y14SAR4_P006_12T068_2014_05_23-2014_06_01,10000063_blue_7_Y14SAR4_P006_12T068_2014_05_23-2014_06_01.fits,10000063,2.5497894,12250.0,0.8577596,True,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
32,10000067_A,10000067_7_Y14SAR3_P011_12T062_2016_05_02-2016_05_10,10000067_blue_7_Y14SAR3_P011_12T062_2016_05_02-2016_05_10.fits,10000067,1.2563152,11900.0,1.0096515,True,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
33,10000067_B,10000067_7_Y17SAR3_P010_12T115_2018_04_09-2018_04_19,10000067_blue_7_Y17SAR3_P010_12T115_2018_04_09-2018_04_19.fits,10000067,1.4503161,12600.0,0.7989155,False,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
34,10000068_A,10000068_13_Y14SAR3_P003_12T054_2014_04_24-2014_05_04,10000068_blue_13_Y14SAR3_P003_12T054_2014_04_24-2014_05_04.fits,10000068,2.0915372,23400.0,0.99224085,False,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
35,10000068_E,10000068_6_Y14SAR3_P003_12T054_2016_04_04-2016_04_12,10000068_blue_6_Y14SAR3_P003_12T054_2016_04_04-2016_04_12.fits,10000068,1.6905924,10800.0,0.89324874,True,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
