,catid,ra_obj,dec_obj,r_petro,r_auto,z_spec,m_r,r_e,mu_within_1re,mu_1re,mu_2re,ellip,pa,g_i,mstar,r_on_rtwo,v_on_sigma,is_mem,surv_sami,bad_class
0,9011900001,14.0671544540651,-1.25536934215829,12.986222,13.169163,0.04452117,-23.33175,63.775894,22.915201,24.42576,25.986717,0.20853871,217.45499,1.3198166,11.5877,6.697878e-06,0.11110196,1,7,0
1,9011900002,14.0740338479429,-1.26032983309023,16.286343,16.306042,0.03911899,-20.190361,1.387755,19.107248,20.176815,21.818083,0.072153755,275.84613,1.1202059,10.15713,0.01305153,-1.7402956,1,7,8
2,9011900003,14.0745767980926,-1.26213395249889,15.871767,16.268087,0.03849665,-20.227768,nan,nan,nan,nan,nan,nan,1.1498327,10.205531,0.015452894,-1.9541932,1,7,0
3,9011900005,14.0537852533633,-1.26329011523927,18.609417,17.308725,0.03778281,-19.185982,nan,nan,nan,nan,nan,nan,1.262867,9.887663,0.023897447,-2.199696,1,7,0
4,9011900006,14.0756150589043,-1.24184017010364,15.212702,15.001332,0.04361263,-21.498928,2.6059005,19.021425,20.363825,21.946754,0.052937705,169.88126,1.2993641,10.841409,0.024552945,-0.19959885,1,7,0
5,9011900007,14.0846572063946,-1.25063438254069,17.997269,18.026249,0.04105724,-18.47185,27.696348,24.935598,26.68287,28.223352,0.42923176,107.90984,1.1796379,9.530834,0.027897105,-1.0749329,1,7,0
6,9011900008,14.0556512198554,-1.27001669208809,15.944301,15.723641,0.045318015,-20.778236,2.1965058,19.245888,20.680416,22.25035,0.099254526,232.4183,1.213438,10.474614,0.028646763,0.38338172,1,7,8
7,9011900009,14.0534865822132,-1.26942390078162,15.902063,15.652073,0.045034066,-20.849602,2.5547311,19.301964,20.665499,22.245218,0.29823938,223.73413,1.2527571,10.533861,0.030153474,0.28638074,1,7,0
8,9011900011,14.055867985949,-1.23839880327462,16.880154,16.626684,0.048625406,-19.87669,9.380324,22.387285,23.869879,25.433975,0.41189596,134.14691,1.1027069,10.014269,0.03135175,1.511288,1,7,0
9,9011900012,14.0846518816389,-1.24254014993571,16.9606,16.94523,0.042267334,-19.553968,8.574883,22.46589,24.497694,26.023443,0.25192127,168.96593,1.1927376,9.969811,0.033382054,-0.6601557,1,7,0
10,9011900013,14.0427316106223,-1.26768646829129,16.096497,16.087168,0.04569421,-20.415071,2.0341873,19.16185,20.405502,22.005552,0.30814984,115.39799,1.2726784,10.37608,0.042069037,0.51185447,1,7,0
11,9011900014,14.0496583268366,-1.27778174199599,17.384745,17.248835,0.04795502,-19.254208,6.5908327,22.018393,23.306,24.89797,0.58223933,118.36045,1.1301193,9.794188,0.04373609,1.282959,1,7,0
12,9011900017,14.035177471932,-1.25447720211237,17.923298,17.771927,0.04365552,-18.728207,2.1527653,20.668825,21.590899,23.28343,0.5258712,246.13504,1.1247559,9.575955,0.04919846,-0.18492562,1,7,0
