,catid,ra_obj,dec_obj,z_spec,fillflag
0,517009,130.347210834,2.42115126962,0.00641,20
1,209095,131.765101423,0.166991724308,0.01323,20
2,215662,134.569375706,0.439600469075,0.01139,20
3,382656,137.890074464,2.05389483666,0.01243,20
4,83849,174.572266418,0.613380682094,0.00309,20
5,7551,178.04887757,0.741976215516,0.00875,20
6,84601,178.798636449,0.490277888551,0.01068,20
7,288609,179.342595403,1.78193382337,0.00662,20
8,99232,181.824169832,0.885202990639,0.04933,20
9,273391,183.378888776,1.42761392059,0.00958,20
10,24103,184.372037282,1.19890185467,0.02083,20
11,85881,184.482936838,0.43641434923,0.00293,20
12,71380,184.602180042,0.0969705739532,0.03399,20
13,273653,184.696408791,1.3816976176,0.00554,20
14,611445,184.857274218,0.210021771689,0.00291,20
15,231650,185.047653893,1.95854007472,0.00681,20
16,611520,185.088188014,0.366676184664,0.00303,20
17,298024,217.966114422,1.38929616613,0.03034,20
18,16445,218.610258707,0.830330610459,0.0141,20
19,594302,219.6944291,-0.0271449922134,0.00663,20
20,79084,219.927618124,0.0562836349526,0.00496,20
21,229292,221.73496816,1.09738735525,0.03547,20
22,422293,130.152799337,2.63846367481,0.0492,40
23,599224,130.592025389,0.253299665676,0.07881,40
24,549178,130.659547084,-0.576394532937,0.03062,40
25,422397,130.705302522,2.55679136995,0.0498,40
26,521750,130.822881472,2.92278313505,0.07797,40
27,345785,131.039370192,1.9015807642,0.07891,40
28,323330,131.43779471,1.61271925262,0.04867,40
29,381266,131.822255835,1.89719459535,0.04979,40
30,376136,132.094628823,1.42688859434,0.05068,40
31,371883,133.245645961,1.02694942417,0.05056,40
32,323873,133.481810231,1.67196403602,0.05825,40
33,215332,133.52309633,0.544482922424,0.05831,40
34,376576,134.289991197,1.42598851723,0.07035,40
35,346865,135.238379761,2.17940091325,0.05823,40
36,203828,135.378898125,-0.408957652995,0.05308,40
37,600437,135.463575288,0.399440090318,0.05302,40
38,301939,135.654142219,1.29997375453,0.09319,40
39,382385,136.405199954,2.02716814221,0.05199,40
40,574696,136.750005036,-0.04753615393,0.01825,40
41,216139,136.77162376,0.531003530627,0.05355,40
42,216156,136.954479788,0.604054615888,0.05427,40
43,216164,137.03357129,0.592138941556,0.05375,40
44,216403,138.046132714,0.466812081446,0.05405,40
45,600969,138.086145157,0.30272412143,0.05356,40
46,347542,138.159758561,2.23784318802,0.0555,40
47,210397,138.227353586,0.0756606387802,0.05505,40
48,601042,138.274700665,0.239892163473,0.05413,40
49,551345,139.875484982,-0.454206267499,0.0564,40
50,383118,139.947957955,2.12370296806,0.03732,40
51,218712,140.001489895,0.842553055057,0.05787,40
52,388474,140.224908113,2.55554486388,0.05641,40
53,378107,140.623207522,1.69123374508,0.08468,40
54,551578,140.63645219,-0.460824193614,0.05397,40
55,205229,140.836894606,-0.406980287191,0.05207,40
56,551623,140.90888214,-0.559578782003,0.05556,40
57,348278,140.935635614,2.3688385599,0.09144,40
58,383327,140.943201551,2.0948268858,0.02369,40
59,183930,174.231423582,-1.59325022374,0.02178,40
60,534656,174.371790818,-0.8508999843,0.04403,40
61,287659,174.401835699,1.81394544087,0.07409,40
62,143295,175.219585397,-1.29877926081,0.04517,40
63,396854,175.236417674,1.46102660105,0.01825,40
64,609359,175.457115104,0.217029023893,0.09206,40
65,69652,175.837645178,0.0286967632393,0.0182,40
66,535012,176.156463112,-0.963009585272,0.07956,40
67,39373,176.613152827,-0.666777498536,0.01842,40
68,137047,176.829989665,-1.69214647955,0.09288,40
69,584043,177.872444793,-0.0308431795376,0.04743,40
70,272189,178.229076197,1.27459627549,0.08171,40
71,84692,179.349859599,0.624596607806,0.04731,40
72,137883,179.835283783,-1.75498666347,0.01894,40
73,31480,179.849786693,-1.15427940439,0.0204,40
74,54919,179.984199767,-0.321663755253,0.08361,40
75,560339,180.008456782,-0.493880838116,0.08046,40
76,144499,180.252594525,-1.40050288348,0.03568,40
77,31624,180.620213772,-1.12660125795,0.0926,40
78,185563,180.783767375,-1.49002579663,0.08211,40
79,144655,180.925145227,-1.3710763097,0.08257,40
80,272882,181.034114219,1.38409715867,0.08256,40
81,536236,181.215797087,-0.983033788097,0.08238,40
82,85217,181.483496657,0.51666384101,0.04919,40
83,585216,181.682997228,-0.204260718877,0.09413,40
84,23456,181.719547737,1.22615271099,2e-05,40
85,145059,182.637800657,-1.33759119835,0.03319,40
86,23710,182.798763065,1.12070317445,0.02041,40
87,611023,182.920644982,0.252666475157,0.02058,40
88,537033,183.817966067,-0.888322962861,0.07528,40
89,24031,184.014399684,1.19502212891,0.05044,40
90,41165,184.49817254,-0.80117146762,0.02033,40
91,463130,211.54005227,-1.20382978332,0.05405,40
92,567452,211.67991537,-0.590523746354,0.05252,40
93,460324,211.727723724,-1.72639956875,0.07025,40
94,543511,211.809304837,-0.96375602108,0.05213,40
95,62241,211.989725622,-0.305829998626,0.05278,40
96,14581,212.039885615,0.690458833056,0.02478,40
97,296668,212.658569005,1.37919725612,0.04811,40
98,296637,212.668845631,1.43322265936,0.02527,40
99,91669,212.805645341,0.545777285905,0.05275,40
100,77346,213.067062571,0.0738608419026,0.05346,40
101,543854,213.08988602,-0.864463118361,0.03207,40
102,28736,213.143649812,1.05442821756,0.04625,40
103,238122,213.302392561,1.72233591881,0.02569,40
104,238242,213.563079579,1.74603319202,0.05223,40
105,592709,213.69802589,-0.0459144619922,0.07717,40
106,592711,213.722224383,-0.0024633580021,0.04673,40
107,514026,214.074749651,-1.25822349947,0.04798,40
108,514028,214.108052639,-1.19147581634,0.05025,40
109,238400,214.155438432,1.64721052411,0.0561,40
110,485126,214.201376368,-1.86056925919,0.08051,40
111,238413,214.245292654,1.66145925058,0.0558,40
112,227651,214.332058142,1.21843590584,0.05422,40
113,618109,214.338282042,0.397076414894,0.04736,40
114,238480,214.434111534,1.75242279776,0.05221,40
115,63107,214.52998068,-0.340991818654,0.03649,40
116,485254,214.530872885,-1.82821977806,0.05521,40
117,485311,214.851679268,-1.8016595376,0.05538,40
118,492188,215.134365054,-1.42040495605,0.08339,40
119,250573,215.176325742,1.99939104145,0.07789,40
120,227921,215.306245618,1.20188622607,0.05475,40
121,228071,215.851633994,1.13988540961,0.03974,40
122,37049,215.852644376,-1.05523946633,0.03126,40
123,48100,215.946698094,-0.670837944761,0.0516,40
124,508186,216.180833839,-1.55294045951,0.05708,40
125,593388,216.368986339,-0.0229102361505,0.05456,40
126,618662,216.387900733,0.333045827146,0.08491,40
127,492401,216.403887225,-1.37959536683,0.05562,40
128,511911,216.571638184,-1.19368637964,0.05517,40
129,593527,216.821006831,-0.0689313471813,0.03035,40
130,544758,216.845091168,-0.938963719567,0.05455,40
131,485705,216.912651727,-1.75253972263,0.05417,40
132,508557,217.199463939,-1.57698897376,0.05598,40
133,63882,217.286018119,-0.366653315409,0.03519,40
134,504905,217.553241407,-1.90134596579,0.05404,40
135,619013,217.563148579,0.233847888148,0.05547,40
136,78548,217.604377321,0.121269080961,0.05606,40
137,485881,217.719022648,-1.76700748232,0.05247,40
138,504923,217.780633721,-1.91959401348,0.05636,40
139,48762,218.390502047,-0.815590807501,0.05544,40
140,64166,218.456167506,-0.281169383908,0.03006,40
141,78865,218.923581235,0.0245667299606,0.03034,40
142,48976,219.214535789,-0.760742071634,0.03713,40
143,505342,219.375220321,-1.96822269174,0.05346,40
144,509079,219.658666395,-1.47139707776,0.05082,40
145,229004,219.708674378,1.10633765675,0.08265,40
146,545586,220.214422444,-0.996291738849,0.05711,40
147,251898,220.921671301,1.92503406125,0.05802,40
148,594691,221.012265645,-0.0183592937104,0.03457,40
149,505766,221.551730555,-1.80905323672,0.08192,40
150,513082,221.590220554,-1.06646890517,0.02947,40
151,252012,221.723556247,1.81860950405,0.03397,40
152,252080,222.003730532,1.91275199689,0.03426,40
153,486990,222.374154726,-1.754352709,0.08114,40
154,240441,222.482839348,1.49047158457,0.04992,40
155,570177,222.523083252,-0.602533252557,0.0268,40
156,509724,222.627383484,-1.51653076851,0.05384,40
157,506026,222.690609744,-1.83750026368,0.02661,40
158,570213,222.707760119,-0.513249129828,0.04229,40
159,487062,222.785321054,-1.61750033093,0.08317,40
160,595043,223.112419987,-0.188346582376,0.0427,40
161,49959,223.202475483,-0.734824093307,0.07862,40
162,506120,223.26448955,-1.77023064721,0.08431,40
163,537298,184.68451,-0.92847,0.12001,50
164,361876,212.81714,2.82917,0.11998,50
165,136575,175.61682,-1.79609,0.11996,50
166,24139,184.61061,1.13744,0.12004,50
167,136916,176.48775,-1.6991,0.11993,50
168,484940,213.36384,-1.81785,0.11992,50
169,297484,215.98045,1.45793,0.12008,50
170,559400,176.97986,-0.47878,0.11991,50
171,54027,176.34669,-0.27684,0.12009,50
172,106055,214.52259,0.88846,0.1199,50
173,32493,185.11197,-1.1798,0.1199,50
174,144372,179.90543,-1.31885,0.12011,50
175,39762,178.18906,-0.73642,0.11989,50
176,422043,129.20995,2.40824,0.11989,50
177,484943,213.43936,-1.8817,0.11987,50
178,535226,176.92227,-0.91785,0.12013,50
179,55184,180.90969,-0.35274,0.11986,50
180,173032,185.52538,-2.49413,0.12014,50
181,32402,184.75126,-1.11489,0.12014,50
182,130253,176.56696,-2.24861,0.11985,50
183,507847,214.6977,-1.61809,0.11984,50
184,457623,213.93656,-1.99755,0.12016,50
185,106046,214.5477,0.86638,0.12018,50
186,372196,134.67665,1.16603,0.11978,50
187,592752,213.92292,-0.06249,0.11974,50
188,513246,222.60821,-1.10862,0.11972,50
189,507791,214.57371,-1.65599,0.11971,50
190,567821,213.34824,-0.48685,0.12029,50
191,509921,223.47535,-1.50176,0.1203,50
192,549169,130.62727,-0.52438,0.1203,50
193,320149,217.14556,1.70978,0.11969,50
194,535224,176.91927,-0.88645,0.11968,50
195,568382,214.87144,-0.47595,0.12032,50
196,41047,184.09354,-0.73574,0.11967,50
197,321240,222.18182,1.74404,0.12033,50
198,228766,218.66815,1.10572,0.11965,50
199,229341,222.05236,1.00865,0.11964,50
200,3602739,130.95465,-1.25252,0.11964,50
201,16385,218.48154,0.79185,0.11963,50
202,278660,132.99465,0.82328,0.11962,50
203,506007,222.65518,-1.8232,0.12039,50
204,92963,218.22314,0.54944,0.11961,50
205,511427,214.14482,-1.57541,0.12039,50
206,31360,179.53685,-1.08488,0.1204,50
207,31501,179.89017,-1.05072,0.12041,50
208,3898205,130.96497,-0.89024,0.11958,50
209,656768,140.95652,-1.79844,0.11958,50
210,361805,212.5959,2.78393,0.11956,50
211,545408,219.37296,-0.87831,0.12044,50
212,123551,176.48721,-2.48709,0.11955,50
