,catid,ra_obj,dec_obj,ra_ifu,dec_ifu,r_petro,r_auto,z_tonry,z_spec,m_r,r_e,mu_within_1re,mu_1re,mu_2re,ellip,pa,mstar,g_i,a_g,surv_sami,bad_class
0,40873,183.43976489,-0.83322893,183.43976489,-0.83322893,19.491,16.869,0.05234,0.0511,-20.02,nan,nan,nan,nan,nan,nan,9.81,0.76,0.082,3,3
1,48805,218.6215621,-0.79893481,218.6215621,-0.79893481,19.507,17.607,0.03735,0.03654,nan,nan,nan,nan,nan,nan,nan,8.92,0.39,0.149,3,3
2,196977,133.59042325,-0.70757163,133.59042325,-0.70757163,17.149,17.13,0.05055,0.04949,-19.68,nan,nan,nan,nan,nan,nan,9.96,1.13,0.092,3,0
3,215293,133.53692609,0.49845534,133.53692609,0.49845534,19.755,15.062,0.02944,0.02842,-20.51,nan,nan,nan,nan,nan,nan,10.1,0.84,0.184,8,3
4,323508,132.03338022,1.5648639,132.03338022,1.5648639,19.154,18.93,0.04058,0.03956,nan,nan,nan,nan,nan,nan,nan,8.7,0.63,0.134,3,3
5,387080,135.17227413,2.24577838,135.17227413,2.24577838,16.401,16.4,0.05343,0.05236,-20.57,nan,nan,nan,nan,nan,nan,10.48,1.35,0.164,8,0
6,396895,175.5758892,1.60900409,175.5758892,1.60900409,18.603,15.859,0.10339,0.10206,-22.52,nan,nan,nan,nan,nan,nan,11.14,1.26,0.081,4,1
7,417511,131.56335849,2.26603061,131.56335849,2.26603061,16.056,13.963,0.00696,0.00635,-18.59,nan,nan,nan,nan,nan,nan,8.67,-0.09,0.201,8,1
8,535668,178.99772563,-0.99979931,178.99772563,-0.99979931,17.973,15.812,0.03814,0.03689,-20.33,nan,nan,nan,nan,nan,nan,9.54,0.24,0.092,8,3
9,622395,133.06923534,0.68240143,133.06923534,0.68240143,19.508,17.399,0.04194,0.0409,-18.94,nan,nan,nan,nan,nan,nan,9.22,0.56,0.123,8,3
10,622487,133.60621121,0.74439111,133.60621121,0.74439111,17.921,16.327,0.10676,0.10565,-22.28,nan,nan,nan,nan,nan,nan,11.15,1.45,0.182,4,3
11,623609,139.66294938,0.7620343,139.66294938,0.7620343,17.831,16.041,0.0589,0.05777,-21.01,nan,nan,nan,nan,nan,nan,10.04,0.57,0.102,8,1
12,726781,131.986934,1.74816257,131.986934,1.74816257,19.294,15.868,0.06709,0.06604,-21.54,2.67,22.14,22.14,nan,0.1683,44.670006,10.38,0.74,0.14,3,1
13,548821,129.36323326,-0.46175759,129.36323326,-0.46175759,19.126,16.098,0.10942,0.10836,-22.58,0.3,19.67,19.67,nan,0.545,130.18,11.31,1.43,0.134,4,3
