,catid,photometry,remge,mmge,rextinction,pamge,epsmge_re,epsmge_lw,dist2nneigh,chi2
0,6821,GAMA,5.4157443,15.489882,0.057,134.77594,0.37479904,0.24858189,6.5152574,5.35621
1,7139,GAMA,0.92183673,16.991344,0.061,89.60727,0.1923237,0.4793502,11.520583,2.9424362
2,7206,GAMA,2.6160223,16.788748,0.074,106.22249,0.29915828,0.3012539,8.480413,5.0059657
3,7289,GAMA,2.947961,15.830082,0.063,102.06984,0.21212418,0.2726519,17.719624,3.4131827
4,7715,GAMA,3.4360533,15.901606,0.044,154.55437,0.16882534,0.30872118,15.4314995,9.535113
5,7839,GAMA,4.4961843,14.781018,0.051,45.915527,0.21010824,0.27555972,18.676691,2.599986
6,7841,GAMA,2.0229325,15.855826,0.051,150.11266,0.48645523,0.5450421,8.9376135,3.9743073
7,7946,GAMA,2.4223952,16.449062,0.048,90.697205,0.190303,0.15361845,13.761435,3.6194897
8,7969,GAMA,2.858833,15.957588,0.055,160.23761,0.09790654,0.15112042,11.176197,3.8837826
9,7992,GAMA,2.1790504,16.1171,0.048,43.146347,0.26878008,0.3285246,13.079912,4.924469
10,8319,GAMA,4.7960653,17.987507,0.059,8.946869,0.30457705,0.3228845,6.507536,10.281525
11,8353,GAMA,5.170631,15.510387,0.056,168.18,0.26518884,0.31697994,14.280926,7.086851
12,8391,GAMA,1.383248,18.031559,0.057,132.261,0.06713877,0.122371435,6.183979,4.4922075
13,8404,GAMA,2.8508022,18.077185,0.057,179.4859,0.015487498,0.066057265,6.3419514,6.1094065
14,8485,GAMA,3.1580107,16.947014,0.066,2.305542,0.66833764,0.7041589,10.597223,4.051822
15,8487,GAMA,7.8337617,13.90894,0.065,89.103516,0.18869744,0.28315544,26.773565,2.3748732
16,8488,GAMA,1.3639227,16.522833,0.065,90.9492,0.04542935,0.063798666,24.903196,6.069833
17,8490,GAMA,2.9857907,17.945065,0.065,68.01672,0.25298697,0.14814699,22.460976,8.271431
18,8562,GAMA,2.9382358,18.737951,0.061,36.03174,0.27316985,0.30771673,9.315466,7.2537537
19,8570,GAMA,7.493775,16.497244,0.062,44.380005,0.32672963,0.33377838,12.286778,12.490735
20,8703,GAMA,5.6196012,14.184933,0.074,134.6732,0.54723185,0.49377805,28.596731,1.2311698
21,8706,GAMA,6.704786,14.844292,0.067,53.968094,0.67327756,0.6114841,28.63213,3.119535
22,8865,GAMA,1.5698985,16.60446,0.059,19.795425,0.041806415,0.11306453,19.939163,5.8046417
23,8913,GAMA,1.9911563,17.93007,0.058,57.944855,0.3243175,0.34720498,10.5172615,6.47935
24,9032,GAMA,2.2599554,17.094889,0.047,19.154327,0.07520614,0.053052902,11.65467,4.2537613
25,9062,GAMA,2.266016,14.763642,0.052,166.28299,0.34124672,0.5309209,18.516182,1.1584454
26,9067,GAMA,2.8098586,17.36705,0.049,140.55977,0.5080644,0.609352,14.381503,4.695853
27,9112,GAMA,3.5557063,16.953924,0.047,113.97917,0.45725587,0.35777527,4.4571385,6.435775
28,9115,GAMA,2.2173448,17.711855,0.044,109.79471,0.31893358,0.35705453,14.275061,5.774612
29,9163,GAMA,12.429646,14.28156,0.044,107.35965,0.6034263,0.65706086,22.426447,2.5993898
30,9352,GAMA,1.5038751,17.044104,0.07,110.37627,0.14503922,0.34775978,11.664453,3.0735278
31,14552,GAMA,1.7499462,15.883116,0.079,176.05502,0.2528679,0.44666076,16.551609,3.0338023
32,14555,GAMA,3.1233475,16.690289,0.083,117.16257,0.498222,0.43259615,7.738049,7.103944
33,14697,GAMA,2.5140681,16.514202,0.086,163.83267,0.44176134,0.2691996,15.837115,5.214479
34,14812,GAMA,4.360161,15.105043,0.081,103.66557,0.23137961,0.24183303,18.455326,2.2924407
35,15165,GAMA,3.8445387,15.536022,0.089,140.89911,0.071766526,0.11108488,11.76874,2.4512494
36,15218,GAMA,6.559853,16.5415,0.087,115.96318,0.38444418,0.44965255,12.594732,7.0809464
37,15220,GAMA,1.5628057,17.198452,0.086,145.57278,0.32783055,0.44741386,14.954319,5.6306024
38,15481,GAMA,4.5405436,14.792027,0.06,15.875702,0.0349203,0.031626046,25.534,1.3781955
39,15847,GAMA,3.0110085,17.319942,0.076,148.8685,0.41258702,0.42193615,10.944454,6.4826884
40,15898,GAMA,5.560201,15.105284,0.081,146.60956,0.6962029,0.5565956,13.178491,5.6052885
41,16022,GAMA,1.581067,16.434038,0.088,44.95157,0.03922353,0.11902952,13.382098,2.9549432
42,16026,GAMA,1.348231,16.649267,0.088,157.56332,0.38155922,0.5468187,13.682473,2.86873
43,16242,GAMA,4.8374166,15.228622,0.084,158.6463,0.34307495,0.19168293,16.030027,2.396593
44,16294,GAMA,3.8626466,17.335384,0.082,133.30885,0.7001879,0.7384937,16.926065,4.511541
45,16310,GAMA,1.8122141,19.689886,0.083,23.451385,0.41431972,0.52597535,8.686372,4.26369
46,16317,GAMA,3.927851,14.883888,0.085,135.73447,0.40502077,0.39766103,22.994959,1.7239381
47,16392,GAMA,0.9724464,18.079138,0.086,34.225662,0.18897602,0.20480132,16.243288,3.0321991
48,16426,GAMA,3.02031,18.257957,0.085,13.386841,0.032015033,0.015509129,9.544596,7.5925393
49,16429,GAMA,1.4247239,17.58557,0.083,143.88849,0.30509844,0.41860723,9.591963,4.075798
50,16430,GAMA,3.000882,17.562325,0.094,20.325607,0.36895758,0.32881135,27.609943,4.6237063
51,16487,GAMA,2.24434,18.011362,0.096,89.86847,0.48878622,0.56484246,6.8921275,3.574006
52,16525,GAMA,1.1425194,16.864746,0.096,117.33699,0.10784932,0.10199058,8.485439,5.3685265
53,16526,GAMA,2.2249396,16.76816,0.096,29.979996,0.0,0.0,8.485439,9.430541
54,16828,GAMA,14.858561,14.3468075,0.104,56.178024,0.5223277,0.44808263,15.534358,3.2597945
55,16863,GAMA,9.226341,14.735305,0.102,67.009995,0.8348883,0.565308,17.746538,2.235014
56,16920,GAMA,2.7605872,19.422422,0.116,134.9,1.110223e-16,-1.1920929e-07,4.2426405,10.901251
57,16926,GAMA,1.5413442,16.519682,0.108,34.707474,0.33315802,0.6113253,9.23459,3.2726455
58,16948,GAMA,4.1281166,17.000738,0.109,15.920166,0.19542795,0.100880325,17.4572,4.0487914
59,17273,GAMA,3.4757855,16.340702,0.103,90.37004,0.27731827,0.29319835,15.1104355,4.4698415
60,17314,GAMA,3.206858,15.785417,0.112,143.01932,0.3754071,0.21865475,10.29672,4.402771
61,17390,GAMA,2.4690208,16.03016,0.11,132.7207,0.15052485,0.1882127,24.12273,3.536355
62,21836,GAMA,2.0493834,18.625725,0.059,102.118805,0.33091235,0.35624802,13.002477,5.4393134
63,21979,GAMA,4.652496,17.968597,0.047,55.349,0.2630284,0.274042,9.033578,10.282144
64,22175,GAMA,3.325413,17.994635,0.04,177.25629,0.49784312,0.51616126,21.81447,6.8720026
65,22178,GAMA,3.3016162,18.257256,0.045,10.960571,0.45920008,0.2400521,11.347164,8.437261
66,22582,GAMA,2.6176996,15.610695,0.049,124.32768,0.16979446,0.19151485,13.304367,2.7390633
67,22595,GAMA,3.0709546,15.564805,0.048,30.339676,0.3414588,0.34471226,14.7776165,4.4075127
68,22633,GAMA,4.321794,16.010496,0.044,12.876038,0.37981272,0.19058973,9.198201,9.106374
69,22839,GAMA,2.6272728,17.33868,0.036,44.043335,0.5460319,0.6600955,13.802018,3.969463
70,22862,GAMA,3.9343874,17.955248,0.035,44.679993,0.18972212,0.22946554,6.5207934,8.533581
71,22887,GAMA,4.057598,15.219921,0.039,138.43878,0.50872904,0.43676364,14.454724,9.192277
72,22932,GAMA,4.308835,16.864985,0.04,6.971878,0.0206548,0.018526673,10.801847,9.076466
73,23070,GAMA,2.0313065,16.158478,0.05,126.16,0.17847204,0.31101704,13.9203,5.386425
74,23075,GAMA,2.512215,16.102228,0.05,168.69402,0.42270854,0.48703694,7.646656,2.362234
75,23082,GAMA,2.1803808,15.702561,0.05,123.479996,0.06501146,0.07706463,9.561077,4.2664704
76,23117,GAMA,4.2437434,15.384232,0.05,29.621033,0.23523152,0.28537953,17.667479,2.092877
77,23225,GAMA,5.7421513,14.526396,0.042,125.15662,0.0851864,0.10312706,28.560413,5.5680003
78,23259,GAMA,4.1148443,17.18425,0.04,89.47,0.6039558,0.36921597,6.3660803,2.7829418
79,23265,GAMA,3.0652578,15.89386,0.041,96.96275,0.09916215,0.09574306,13.504506,3.9268022
80,23337,GAMA,5.0958834,15.713165,0.04,138.88469,0.24870272,0.24490571,19.69225,2.1331768
81,23341,GAMA,2.5410497,15.951674,0.04,126.19336,0.12784618,0.17397797,16.595781,1.5340902
82,23519,GAMA,2.3229866,19.143965,0.056,40.0502,0.0105140805,0.0,10.150594,6.506092
83,23565,GAMA,3.2029555,15.60585,0.059,43.728607,0.4037321,0.3937077,13.660656,2.2908726
84,23578,GAMA,2.6356618,18.152102,0.06,44.07756,0.6872826,0.5113034,7.202795,5.682717
